Date,positions
1/2/2024,0
2/2/2024,0
3/2/2024,0
4/2/2024,0
5/2/2024,0
6/2/2024,0
7/2/2024,0
8/2/2024,0
9/2/2024,0
10/2/2024,0
11/2/2024,0
12/2/2024,0
13/2/2024,0
14/2/2024,0
15/2/2024,0
16/2/2024,0
17/2/2024,0.5833
18/2/2024,0.5833
19/2/2024,0.5833
20/2/2024,0.5833
21/2/2024,0.5833
22/2/2024,0.5833
23/2/2024,0.5833
24/2/2024,0.5833
25/2/2024,0.6758
26/2/2024,0.6758
27/2/2024,0.6758
28/2/2024,0.6758
29/2/2024,0.6758
1/3/2024,0.6758
2/3/2024,0.6758
3/3/2024,0.6758
