Date,close
2023-12-31,2285.4
2024-01-01,2391.15
2024-01-02,2363.35
2024-01-03,2224.55
2024-01-04,2255.15
2024-01-05,2233.35
2024-01-06,2250.25
2024-01-07,2225.55
2024-01-08,2258.65
2024-01-09,2369.85
2024-01-10,2412.45
2024-01-11,2596.2
2024-01-12,2549.1
2024-01-13,2548.0
2024-01-14,2509.7
2024-01-15,2523.2
2024-01-16,2549.7
2024-01-17,2531.35
2024-01-18,2462.9
2024-01-19,2475.6
2024-01-20,2471.6
2024-01-21,2414.55
2024-01-22,2319.3
2024-01-23,2228.3
2024-01-24,2201.45
2024-01-25,2197.95
2024-01-26,2256.55
2024-01-27,2284.35
2024-01-28,2258.8
2024-01-29,2306.7
2024-01-30,2337.65
2024-01-31,2268.6
2024-02-01,2311.45
2024-02-02,2313.2
2024-02-03,2290.3
2024-02-04,2308.3
2024-02-05,2321.4
2024-02-06,2359.5
2024-02-07,2423.25
2024-02-08,2448.15
2024-02-09,2400.5
2024-02-10,2527.25
2024-02-11,2347.2
2024-02-12,2649.15
2024-02-13,2553.35
2024-02-14,2771.05
2024-02-15,2735.15
2024-02-16,2649.9
2024-02-17,2731.35
2024-02-18,2928.25
2024-02-19,2920.65
2024-02-20,2934.2
2024-02-21,2992.6
2024-02-22,2925.5
2024-02-23,2958.75
2024-02-24,3030.35
2024-02-25,3087.15
2024-02-26,3218.5
2024-02-27,3303.65
2024-02-28,3468.75
2024-02-29,3364.85
2024-03-01,3435.25
2024-03-02,3396.8
2024-03-03,3481.9
2024-03-04,3682.2
2024-03-05,3791.4
2024-03-06,3792.4
2024-03-07,3915.8
2024-03-08,3936.9
2024-03-09,3955.8
2024-03-10,4011.15
2024-03-11,4029.55
2024-03-12,4045.0
2024-03-13,3967.1
2024-03-14,3750.3
2024-03-15,3741.6
2024-03-16,3468.25
2024-03-17,3624.8
2024-03-18,3359.45
2024-03-19,3214.75
2024-03-20,3517.55
2024-03-21,3510.6
2024-03-22,3364.7
2024-03-23,3344.15
2024-03-24,3444.45
2024-03-25,3639.25
2024-03-26,3569.35
2024-03-27,3572.75
2024-03-28,3519.35
2024-03-29,3492.8
2024-03-30,3623.5
2024-03-31,3624.2
