instrument_name,tick_size_steps,quote_currency,min_trade_amount,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,expiration_timestamp,creation_timestamp,instrument_id,base_currency,contract_size,tick_size,instrument_type,taker_commission,maker_commission,strike,is_active,kind,rfq,price_index,creation_date,expiration_date,Date,Time
BTC-21FEB24-51000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294185,BTC,1,0.0001,51000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-51000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294186,BTC,1,0.0001,51000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-51250-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70842E+12,294669,BTC,1,0.0001,51250,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,20/2/2024 8:00,21/2/2024 8:00,,
BTC-21FEB24-51250-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70842E+12,294670,BTC,1,0.0001,51250,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,20/2/2024 8:00,21/2/2024 8:00,,
BTC-21FEB24-51500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294187,BTC,1,0.0001,51500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-51500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294188,BTC,1,0.0001,51500,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-51750-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70842E+12,294671,BTC,1,0.0001,51750,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,20/2/2024 8:00,21/2/2024 8:00,,
BTC-21FEB24-51750-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70842E+12,294672,BTC,1,0.0001,51750,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,20/2/2024 8:00,21/2/2024 8:00,,
BTC-21FEB24-52000-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70824E+12,294189,BTC,1,0.0001,52000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-52000-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70824E+12,294190,BTC,1,0.0001,52000,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,18/2/2024 8:01,21/2/2024 8:00,,
BTC-21FEB24-52250-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,1.70842E+12,294673,BTC,1,0.0001,52250,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,20/2/2024 8:00,21/2/2024 8:00,,
BTC-21FEB24-52250-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,1.70842E+12,294674,BTC,1,0.0001,52250,TRUE,1.7085E+12,reversed,0.0003,0.0003,option,FALSE,btc_usd,20/2/2024 8:00,21/2/2024 8:00,,
