Date,best_bid_amount,best_ask_amount,estimated_delivery_price,bid_iv,ask_iv,underlying_index,underlying_price,mark_iv,best_bid_price,best_ask_price,interest_rate,open_interest,max_price,min_price,last_price,settlement_price,instrument_name,mark_price,index_price,state,timestamp,greeks.rho,greeks.theta,greeks.vega,greeks.gamma,greeks.delta,stats.volume_usd,stats.volume,stats.price_change,stats.low,stats.high,strike,expiration_date,dte,spot,option_type,mid_price,mark_price_usd,mid_price_usd,time
24/2/2024,460,82,2961.41,32.72,38.07,SYN.ETH-26FEB24,2963.659,35.51,0.0075,0.009,0,454,0.036,0.0001,0.008,0.010552,ETH-26FEB24-2975-C,0.0083,2961.41,open,1.71E+12,0.06525,-8.01947,0.83163,0.00529,0.44478,9801.77,372,-36,0.008,0.0125,2975,26/2/2024 16:00,1,2961.23,call,0.00825,24.578209,24.4301475,48:54.3
24/2/2024,296,300,2961.41,34.12,38.83,SYN.ETH-26FEB24,2963.659,35.92,0.0048,0.006,0,2175,0.031,0.0001,0.0046,0.007226,ETH-26FEB24-3000-C,0.0053,2961.41,open,1.71E+12,0.04719,-7.35123,0.75362,0.00474,0.32095,57470.04,2318,-45.8824,0.0044,0.0105,3000,26/2/2024 16:00,1,2961.23,call,0.0054,15.694519,15.990642,48:54.3
24/2/2024,291,107,2961.41,34.55,38.37,SYN.ETH-26FEB24,2963.659,36.46,0.0028,0.0036,0,149,0.0265,0.0001,0.0032,0.004775,ETH-26FEB24-3025-C,0.0032,2961.41,open,1.71E+12,0.03214,-6.14168,0.62027,0.00384,0.2182,2172.08,165,-36,0.0029,0.0065,3025,26/2/2024 16:00,1,2961.23,call,0.0032,9.475936,9.475936,48:54.3
24/2/2024,318,114,2961.41,35.34,39.11,SYN.ETH-26FEB24,2963.659,37.14,0.0016,0.0022,0,287,0.023,0.0001,0.002,0.003032,ETH-26FEB24-3050-C,0.0019,2961.41,open,1.71E+12,0.02081,-4.75084,0.47094,0.00286,0.14109,3370.8,289,-63.6364,0.002,0.006,3050,26/2/2024 16:00,1,2961.23,call,0.0019,5.626337,5.626337,48:54.3
24/2/2024,15,3,2961.41,36.3,39.82,SYN.ETH-26FEB24,2963.659,38.29,0.0009,0.0013,0,37,0.0195,0.0001,0.0011,0.001888,ETH-26FEB24-3075-C,0.0011,2961.41,open,1.71E+12,0.01324,-3.31336,0.341,0.00201,0.08972,318.93,41,-56,0.0011,0.0029,3075,26/2/2024 16:00,1,2961.23,call,0.0011,3.257353,3.257353,48:54.3
24/2/2024,17,120,2961.41,38.71,43.27,SYN.ETH-26FEB24,2963.659,40.77,0.0006,0.001,0,514,0.018,0.0001,0.001,0.001162,ETH-26FEB24-3100-C,0.0008,2961.41,open,1.71E+12,0.00914,-2.27398,0.25692,0.00142,0.0619,3640.4,554,-66.6667,0.0007,0.003,3100,26/2/2024 16:00,1,2961.23,call,0.0008,2.368984,2.368984,48:54.3
24/2/2024,6,121,2961.41,40.9,46.77,SYN.ETH-26FEB24,2963.659,43.32,0.0004,0.0008,0,7,0.0165,0.0001,0.0004,0.000746,ETH-26FEB24-3125-C,0.0005,2961.41,open,1.71E+12,0.00647,-1.61813,0.19538,0.00102,0.04385,9.43,6,-63.6364,0.0004,0.0011,3125,26/2/2024 16:00,1,2961.23,call,0.0006,1.480615,1.776738,48:54.3
24/2/2024,24,146,2961.42,43.74,49.37,SYN.ETH-26FEB24,2963.6321,46.26,0.0003,0.0006,0,151,0.015,0.0001,0.0003,0.000504,ETH-26FEB24-3150-C,0.0004,2961.42,open,1.71E+12,0.00486,-1.24237,0.15457,0.00075,0.0329,235.1,153,-78.5714,0.0003,0.0014,3150,26/2/2024 16:00,1,2961.23,call,0.00045,1.184492,1.3325535,48:54.3
24/2/2024,150,107,2961.42,48.43,52.72,SYN.ETH-26FEB24,2963.6321,50.78,0.0003,0.0005,0,357,0.0155,0.0001,0.0005,0.000377,ETH-26FEB24-3175-C,0.0004,2961.42,open,1.71E+12,0.00431,-1.1905,0.14015,0.00062,0.02923,1279.75,352,-66.6667,0.0005,0.0015,3175,26/2/2024 16:00,1,2961.23,call,0.0004,1.184492,1.184492,48:54.3
24/2/2024,15,169,2961.42,53.02,57.6,SYN.ETH-26FEB24,2963.6321,54.56,0.0003,0.0005,0,107,0.015,0.0001,0.0003,0.000287,ETH-26FEB24-3200-C,0.0004,2961.42,open,1.71E+12,0.00367,-1.06783,0.12278,0.00051,0.02494,130.07,114,-50,0.0003,0.0006,3200,26/2/2024 16:00,1,2961.23,call,0.0004,1.184492,1.184492,48:54.3
24/2/2024,2,109,2961.42,61.92,64.69,SYN.ETH-26FEB24,2963.6321,60.63,0.0003,0.0004,0,208,0.015,0.0001,0.0003,0.000221,ETH-26FEB24-3250-C,0.0003,2961.42,open,1.71E+12,0.0025,-0.76911,0.08866,0.00033,0.01698,171.53,185,-25,0.0002,0.0004,3250,26/2/2024 16:00,1,2961.23,call,0.00035,0.888369,1.0364305,48:54.3
24/2/2024,10,111,2961.41,61.22,73.55,SYN.ETH-26FEB24,2963.6421,67.89,0.0001,0.0004,0,30,0.015,0.0001,0.0001,0.00028,ETH-26FEB24-3300-C,0.0002,2961.41,open,1.71E+12,0.00202,-0.67708,0.07378,0.00025,0.01371,13.8,30,-50,0.0001,0.0002,3300,26/2/2024 16:00,1,2961.23,call,0.00025,0.592246,0.7403075,48:54.3
24/2/2024,0,471,2961.41,0,82.13,SYN.ETH-26FEB24,2963.6421,69.03,0,0.0004,0,23,0.015,0.0001,0.0006,0.000152,ETH-26FEB24-3350-C,0.0001,2961.41,open,1.71E+12,0.00098,-0.30976,0.03924,0.00013,0.00666,25.96,23,500,0.0001,0.0006,3350,26/2/2024 16:00,1,2961.23,call,0.0002,0.296123,0.592246,48:54.3
24/2/2024,0,5,2961.41,0,93.46,SYN.ETH-26FEB24,2963.6421,73.01,0,0.0005,0,2,0.015,0.0001,0.0001,0.000104,ETH-26FEB24-3400-C,0.0001,2961.41,open,1.71E+12,0.00064,-0.20582,0.02691,8.00E-05,0.00436,0.59,2,0,0.0001,0.0001,3400,26/2/2024 16:00,1,2961.23,call,0.00025,0.296123,0.7403075,48:54.3
24/2/2024,0,10,2961.42,0,83.02,SYN.ETH-26FEB24,2963.6321,73.44,0,0.0001,0,0,0.015,0.0001,,4.60E-05,ETH-26FEB24-3450-C,0,2961.42,open,1.71E+12,0.00029,-0.08615,0.01299,4.00E-05,0.00194,0,0,,,,3450,26/2/2024 16:00,1,2961.23,call,5.00E-05,0,0.1480615,48:54.3
24/2/2024,0,10,2961.42,0,89.92,SYN.ETH-26FEB24,2963.6321,73.44,0,0.0001,0,0,0.015,0.0001,,1.90E-05,ETH-26FEB24-3500-C,0,2961.42,open,1.71E+12,0.00011,-0.03233,0.00564,2.00E-05,0.00078,0,0,,,,3500,26/2/2024 16:00,1,2961.23,call,5.00E-05,0,0.1480615,48:54.3
24/2/2024,0,0,2961.41,0,0,SYN.ETH-26FEB24,2963.6421,73.44,0,0,0,0,0.015,0.0001,,7.00E-06,ETH-26FEB24-3550-C,0,2961.41,open,1.71E+12,4.00E-05,-0.01152,0.0023,1.00E-05,0.0003,0,0,,,,3550,26/2/2024 16:00,1,2961.23,call,0,0,0,48:54.3
24/2/2024,0,4,2961.41,0,121.6,SYN.ETH-26FEB24,2963.6421,73.44,0,0.0004,0,0,0.015,0.0001,,3.00E-06,ETH-26FEB24-3600-C,0,2961.41,open,1.71E+12,2.00E-05,-0.0039,0.00088,0,0.00011,0,0,,,,3600,26/2/2024 16:00,1,2961.23,call,0.0002,0,0.592246,48:54.3
24/2/2024,0,0,2963.17,0,0,SYN.ETH-26FEB24,2965.3672,78.67,0,0,0,0,0.1835,0.131,,0.156765,ETH-26FEB24-2500-C,0.157,2963.17,open,1.71E+12,0.1258,-0.15408,0.0072,2.00E-05,0.99898,0,0,,,,2500,26/2/2024 16:00,1,2961.23,put,0,464.91311,0,52:16.1
