instrument_name,tick_size_steps,quote_currency,min_trade_amount,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,expiration_timestamp,creation_timestamp,instrument_id,base_currency,contract_size,tick_size,instrument_type,taker_commission,maker_commission,strike,is_active,kind,rfq,price_index,creation_date,expiration_date,Date,Time
ETH-8FEB24-2225-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291716,ETH,1.0,0.0001,reversed,0.0003,0.0003,2225.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2250-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291717,ETH,1.0,0.0001,reversed,0.0003,0.0003,2250.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2250-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291718,ETH,1.0,0.0001,reversed,0.0003,0.0003,2250.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2275-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291719,ETH,1.0,0.0001,reversed,0.0003,0.0003,2275.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2275-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291720,ETH,1.0,0.0001,reversed,0.0003,0.0003,2275.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2300-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291721,ETH,1.0,0.0001,reversed,0.0003,0.0003,2300.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2300-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291722,ETH,1.0,0.0001,reversed,0.0003,0.0003,2300.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2325-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291723,ETH,1.0,0.0001,reversed,0.0003,0.0003,2325.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2325-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291724,ETH,1.0,0.0001,reversed,0.0003,0.0003,2325.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2350-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291725,ETH,1.0,0.0001,reversed,0.0003,0.0003,2350.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2350-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291726,ETH,1.0,0.0001,reversed,0.0003,0.0003,2350.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2375-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291727,ETH,1.0,0.0001,reversed,0.0003,0.0003,2375.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2375-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291728,ETH,1.0,0.0001,reversed,0.0003,0.0003,2375.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2400-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291729,ETH,1.0,0.0001,reversed,0.0003,0.0003,2400.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2400-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291730,ETH,1.0,0.0001,reversed,0.0003,0.0003,2400.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2425-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291731,ETH,1.0,0.0001,reversed,0.0003,0.0003,2425.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2425-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291732,ETH,1.0,0.0001,reversed,0.0003,0.0003,2425.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2450-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291733,ETH,1.0,0.0001,reversed,0.0003,0.0003,2450.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2450-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291734,ETH,1.0,0.0001,reversed,0.0003,0.0003,2450.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2475-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291735,ETH,1.0,0.0001,reversed,0.0003,0.0003,2475.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2475-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291736,ETH,1.0,0.0001,reversed,0.0003,0.0003,2475.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2500-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291737,ETH,1.0,0.0001,reversed,0.0003,0.0003,2500.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2500-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291738,ETH,1.0,0.0001,reversed,0.0003,0.0003,2500.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2550-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291739,ETH,1.0,0.0001,reversed,0.0003,0.0003,2550.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2550-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291740,ETH,1.0,0.0001,reversed,0.0003,0.0003,2550.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2600-C,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,call,1707379200000,1707120003000,291741,ETH,1.0,0.0001,reversed,0.0003,0.0003,2600.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
ETH-8FEB24-2600-P,"[{'above_price': 0.005, 'tick_size': 0.0005}]",ETH,1,USD,day,ETH,0.0001,250,0.0003,put,1707379200000,1707120003000,291742,ETH,1.0,0.0001,reversed,0.0003,0.0003,2600.0,True,option,False,eth_usd,2024-02-05 08:00:03,2024-02-08 08:00:00,2024-02-07,21:16:19.346976
